Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       94  0.652778       17.9644       17.9644       17.9644       0.00000      0.841093E-04  0.180070E-02  -52.5443      0.137625     -0.187002       671.575       0.00000      -403.156      0.227700      0.500000       5.00000       4.00000       3.04982       0.00000       0.00000       0.00000       0.00000    
       95  0.659722       18.0138       18.0138       18.0138       0.00000      0.909473E-04  0.178818E-02  -51.3197      0.138302     -0.186556       661.444       0.00000      -403.429      0.227700      0.500000       5.00000       4.00000       3.06061       0.00000       0.00000       0.00000       0.00000    
       96  0.666667       18.0627       18.0627       18.0627       0.00000      0.802915E-04  0.191439E-02  -61.5579      0.136348     -0.186239       647.964       0.00000      -403.700      0.227700      0.500000       5.00000       4.00000       3.07128       0.00000       0.00000       0.00000       0.00000    
       97  0.673611       18.1034       18.1034       18.1034       0.00000      0.644709E-04  0.190994E-02  -60.8688      0.133339     -0.161259       630.247       0.00000      -403.926      0.227700      0.500000       5.00000       4.00000       3.08019       0.00000       0.00000       0.00000       0.00000    
       98  0.680556       18.1424       18.1424       18.1424       0.00000      0.518241E-04  0.151553E-02  -30.7975      0.128518     -0.152621       377.305       0.00000      -404.143      0.227700      0.500000       5.00000       4.00000       3.08869       0.00000       0.00000       0.00000       0.00000    
       99  0.687500       18.1685       18.1685       18.1685       0.00000      0.690867E-04  0.164087E-02  -38.5470      0.118037     -0.168521       414.841       0.00000      -404.287      0.227700      0.500000       5.00000       4.00000       3.09439       0.00000       0.00000       0.00000       0.00000    
      100  0.694444       18.1944       18.1944       18.1944       0.00000      0.853109E-04  0.187175E-02  -56.6951      0.118367     -0.176011       558.677       0.00000      -404.431      0.227700      0.500000       5.00000       4.00000       3.10005       0.00000       0.00000       0.00000       0.00000    
      101  0.701389       18.2270       18.2270       18.2270       0.00000      0.824848E-04  0.172294E-02  -44.2193      0.113571     -0.174376       448.414       0.00000      -404.612      0.227700      0.500000       5.00000       4.00000       3.10717       0.00000       0.00000       0.00000       0.00000    
      102  0.708333       18.2535       18.2535       18.2535       0.00000      0.715671E-04  0.198128E-02  -65.7870      0.117970     -0.173052       501.687       0.00000      -404.760      0.227700      0.500000       5.00000       4.00000       3.11298       0.00000       0.00000       0.00000       0.00000    
      103  0.715278       18.2733       18.2733       18.2733       0.00000      0.612075E-04  0.197725E-02  -65.2979      0.118332     -0.163998       498.115       0.00000      -404.870      0.227700      0.500000       5.00000       4.00000       3.11728       0.00000       0.00000       0.00000       0.00000    
      104  0.722222       18.2929       18.2929       18.2929       0.00000      0.861452E-04  0.191035E-02  -58.9069      0.119246     -0.181292       461.568       0.00000      -404.978      0.227700      0.500000       5.00000       4.00000       3.12156       0.00000       0.00000       0.00000       0.00000    
